author,link,category,date of publication,number of tokens,number of words without punctuation,number of types,number of links inside the news,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,emotiveness,diversity,indice
"Por Amanda Rossi e Mariana Alvim, BBC, São Paulo ",https://g1.globo.com/sc/santa-catarina/noticia/ja-atingiram-meu-olho-mas-nao-vao-me-calar-professora-agredida-por-aluno-denuncia-mensagens-de-odio.ghtml,tv_celebridades,22/08/2017 12h07 ,871,753,394,0,3,139,3,188,44,45,23,6,0,51,2.62222,3633,16.7333,4.8247,0.00132802,0.272171,0.52324,2110
"Por Guilherme Mazui, G1, Brasília ",https://g1.globo.com/politica/noticia/apos-seis-dias-na-china-temer-embarca-de-volta-para-o-brasil.ghtml,politica,05/09/2017 10h52 ,506,436,239,0,8,48,0,153,25,6,7,0,0,11,3.18182,2177,19.8182,4.99312,0.00229358,0.154229,0.548165,2111
Ricardo Brandt e Julia Affonso ,http://politica.estadao.com.br/blogs/fausto-macedo/receita-registra-movimentacao-suspeita-em-contas-de-laranja-de-lula/,politica,04 de outubro de 2017 ,1037,898,376,None,11,116,2,276,25,19,13,0,0,29,5.34615,4269,34.5385,4.7539,0.00334076,0.112245,0.418708,2112
Por G1 ,https://g1.globo.com/politica/noticia/citado-por-temer-ex-procurador-nao-precisaria-ter-cumprido-quarentena-antes-de-advogar-para-jbs.ghtml,sociedade_cotidiano,27/06/2017 19h31 ,2772,2430,824,None,65,356,15,701,91,115,55,2,2,130,3.08108,12028,21.8919,4.94979,0.00246914,0.194891,0.339095,2113
"Por Emily Costa e Alan Chaves, G1 RR ",https://g1.globo.com/rr/roraima/noticia/forca-nacional-deixa-roraima-um-ano-apos-massacre-de-33-detentos-em-presidio.ghtml,tv_celebridades,23/01/2018 14h08 ,829,740,319,None,7,90,1,221,19,29,15,0,0,20,2.54286,3659,21.1429,4.94459,0.00135135,0.154341,0.431081,2114
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/sexta-feira-24-de-marco-de-2017.ghtml,sociedade_cotidiano,24/03/2017 18h32 ,766,685,403,None,10,104,3,220,27,9,18,0,0,28,2.025,3341,17.125,4.87737,0.00145985,0.111111,0.588321,2115
Por G1 AM ,https://g1.globo.com/am/amazonas/noticia/delacoes-da-odebrecht-licitacao-da-arena-da-amazonia-teve-acordo-entre-construtoras.ghtml,politica,14/04/2017 11h10 ,510,458,236,0,2,53,0,142,10,12,7,0,0,14,2.16667,2379,19.0833,5.19432,0.0,0.112821,0.515284,2116
"Roberta Jansen e Roberta Pennafort, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,lula-diz-ser-inaceitavel-complexo-petroquimico-investigado-estar-parado,70002111620",tv_celebridades,07 de dezembro de 2017 ,1106,943,503,0,11,173,7,272,34,44,24,4,0,48,3.26,4386,18.86,4.65111,0.0,0.175281,0.533404,2117
"Por Marina Franco, G1 ",https://g1.globo.com/mundo/noticia/artistas-do-sudao-do-sul-fazem-musica-e-pintam-muros-em-campanha-pelo-fim-do-conflito.ghtml,sociedade_cotidiano,09/07/2017 06h00 ,1182,1027,497,0,4,152,1,284,53,41,5,0,2,85,3.22917,4849,21.3958,4.72152,0.00584226,0.215596,0.483934,2118
"Jamil Chade, correspondente em Genebra, O Estado de S.Paulo ","http://esportes.estadao.com.br/noticias/futebol,livro-conta-a-historia-do-submundo-das-transacoes-milionarias-de-jogadores-de-futebol,70001950290",politica,25 de agosto de 2017 ,1623,1412,630,0,9,188,5,415,74,62,15,1,0,77,3.40323,6755,22.7742,4.78399,0.00354108,0.225539,0.446176,2119
"Por G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/moro-pede-a-pf-que-sejam-tomadas-as-providencias-necessarias-para-realizacao-da-pericia-da-planilha-italiano.ghtml,politica,18/10/2017 14h16 ,476,419,201,None,9,55,2,139,13,10,9,0,0,12,2.85,1974,20.95,4.71122,0.0,0.118557,0.479714,2120
"Por Gustavo Garcia, G1, Brasília ",https://g1.globo.com/politica/noticia/senado-aprova-projeto-que-devolve-ao-governo-precatorios-nao-sacados.ghtml,tv_celebridades,05/07/2017 16h21 ,629,548,286,None,4,75,6,163,52,15,7,0,0,26,3.375,2733,22.8333,4.98723,0.0,0.281513,0.521898,2121
"Por Alexandre Lopes, G1 Santos ",https://g1.globo.com/sp/santos-regiao/porto-mar/noticia/msc-inaugura-gemeo-de-navio-que-fara-parte-da-temporada-brasileira-em-2018.ghtml,politica,22/12/2017 00h22 ,1374,1195,581,None,23,152,5,346,97,51,18,0,1,52,3.08621,6007,20.6034,5.02678,0.00167364,0.297189,0.486192,2122
Por G1 Sul do Rio e Costa Verde ,https://g1.globo.com/rj/sul-do-rio-costa-verde/noticia/deputado-celso-jacob-e-flagrado-com-biscoito-e-queijo-dentro-da-roupa-ao-retornar-a-presidio.ghtml,politica,23/11/2017 13h01 ,399,353,195,None,5,44,0,103,15,7,9,0,0,9,2.55556,1716,19.6111,4.86119,0.0,0.14966,0.552408,2123
O Estado de S. Paulo ,"http://cultura.estadao.com.br/noticias/televisao,domingos-montagner-vai-ser-sepultado-neste-sabado-em-sao-paulo,10000076385",sociedade_cotidiano,16 de setembro de 2016 ,1425,1194,592,None,5,186,3,346,36,44,20,4,1,73,2.75,5491,14.2143,4.59883,0.000837521,0.150376,0.495812,2124
"Carla Araújo e Felipe Frazão, O Estado de S.Paulo ","http://economia.estadao.com.br/noticias/geral,temer-esta-empenhado-em-aprovar-reforma-da-previdencia-mesmo-em-versao-menor,70002074189",tv_celebridades,06 de novembro de 2017 ,1067,918,422,0,9,179,16,243,42,63,18,4,2,53,3.23913,4533,19.9565,4.93791,0.00108932,0.248815,0.459695,2125
"THE ECONOMIST, O Estado de S.Paulo ","http://internacional.estadao.com.br/noticias/geral,havana-ja-nao-tem-para-onde-atirar,70002021662",politica,30 de setembro de 2017 ,1673,1476,749,0,30,219,10,416,110,79,27,0,0,94,2.31765,7420,17.3647,5.0271,0.00135501,0.297638,0.507453,2126
Por G1 BA ,https://g1.globo.com/bahia/noticia/agenda-cultural-veja-as-opcoes-de-lazer-para-o-final-de-semana-em-salvador.ghtml,politica,15/09/2017 06h01 ,3181,2642,1067,None,9,252,4,860,141,56,28,0,0,94,4.24409,12259,20.8032,4.64005,0.00643452,0.177158,0.403861,2127
"Ricardo Galhardo e Gilberto Amendola, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,pt-da-inicio-a-processo-de-expulsao-de-palocci,70002006679",politica,18 de setembro de 2017 ,667,587,283,0,0,97,3,180,26,23,18,0,0,27,2.58065,2859,18.9355,4.87053,0.00170358,0.176895,0.482112,2128
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/quarta-feira-29-de-novembro-de-2017.ghtml,politica,29/11/2017 19h27 ,1026,912,504,None,9,125,5,264,48,43,19,1,0,40,2.375,4237,19.0,4.64583,0.00438596,0.233933,0.552632,2129
Por RPC Curitiba e G1 PR ,https://g1.globo.com/pr/parana/noticia/moro-nega-pedido-de-defesa-de-lula-e-de-palocci-para-que-processo-da-lava-jato-fosse-transferido-a-sp.ghtml,politica,29/08/2017 12h13 ,458,416,201,0,3,46,3,138,14,10,9,0,0,9,2.21053,1987,21.8947,4.77644,0.00240385,0.130435,0.483173,2130
"Isabela Bonfim, Ricardo Brito e Julia Lindner, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,parlamentares-da-oposicao-reagem-a-prisao-de-mantega-no-hospital,10000077566",sociedade_cotidiano,22 de setembro de 2016 ,1020,882,402,0,6,134,3,263,56,38,15,0,0,42,3.53846,4376,22.6154,4.96145,0.00453515,0.236776,0.455782,2131
"Por Gustavo Garcia, G1, Brasília ",https://g1.globo.com/politica/operacao-lava-jato/noticia/alvo-da-lava-jato-eike-diz-que-mp-faz-trabalho-excelente-mas-que-revolucoes-cometem-erros.ghtml,politica,29/11/2017 18h25 ,567,469,263,0,16,94,4,133,16,20,17,1,0,28,3.76923,2380,18.0385,5.07463,0.0,0.15859,0.560768,2132
"Ricardo Brandt, Julia Affonso e Mateus Coutinho ",http://politica.estadao.com.br/blogs/fausto-macedo/olimpiada-livrou-mantega-de-ir-mais-cedo-para-a-prisao/,politica,22 de setembro de 2016 ,588,511,259,0,5,77,3,149,21,31,9,0,0,17,2.65517,2495,17.6207,4.88258,0.0,0.230089,0.506849,2133
Julia Affonso ,http://politica.estadao.com.br/blogs/fausto-macedo/afonso-do-triplex-pede-lula-na-cadeia-e-moro-candidato-a-presidencia/,tv_celebridades,23 de janeiro de 2018 ,1892,1613,563,None,91,298,15,407,47,102,52,46,1,177,2.76238,7202,15.9703,4.46497,0.000619963,0.211348,0.349039,2134
Luiza Pollo ,http://politica.estadao.com.br/blogs/coluna-do-estadao/lula-visitou-oito-paises-sem-acordo-de-extradicao-desde-2012/,sociedade_cotidiano,29 de janeiro de 2018 ,797,674,394,0,23,100,4,216,28,25,18,1,0,18,3.0,3273,16.439,4.85608,0.00890208,0.167722,0.58457,2135
"Por Alana Fonseca, Aline Pavaneli e Thais Kaniak, G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/ex-diretor-da-oas-diz-que-triplex-estava-reservado-para-dona-marisa-e-o-ex-presidente.ghtml,politica,04/05/2017 14h04 ,1517,1314,492,0,18,231,8,340,32,68,34,8,1,86,2.81944,6222,18.25,4.73516,0.00304414,0.175131,0.374429,2136
"Julia Affonso, Fausto Macedo e Mateus Coutinho ",http://politica.estadao.com.br/blogs/fausto-macedo/renan-diz-que-pedido-de-janot-e-desproporcional-e-abusivo/,politica,07 de junho de 2016 ,1009,887,418,0,15,119,5,277,42,23,25,0,0,36,3.21053,4484,23.3421,5.05524,0.0011274,0.164141,0.471251,2137
AFP ,"http://cultura.estadao.com.br/noticias/cinema,entre-baratas-e-monstros-o-mundo-fantastico-de-guillermo-del-toro,70002209343",tv_celebridades,01 de março de 2018 ,1000,859,449,0,2,148,1,237,59,39,7,0,0,72,2.9375,4110,17.8958,4.78463,0.00349243,0.254545,0.522701,2138
Por G1 BA ,https://g1.globo.com/ba/bahia/noticia/grupo-que-abriu-caixao-por-achar-que-mulher-foi-enterrada-viva-deve-responder-por-violacao-funeraria-diz-policia.ghtml,tv_celebridades,15/02/2018 14h01 ,723,635,285,None,5,113,1,181,26,23,25,0,0,30,2.75,3070,19.8438,4.83465,0.0015748,0.166667,0.448819,2139
Ricardo Brandt e Julia Affonso ,http://politica.estadao.com.br/blogs/fausto-macedo/no-berco-da-lava-jato-parceria-pf-e-mpf-entra-em-curto-circuito/,sociedade_cotidiano,13 de agosto de 2017 ,1509,1309,544,None,35,197,5,404,85,54,23,0,0,51,3.84615,6721,25.1731,5.13445,0.00152788,0.231281,0.415584,2140
"Marianna Holanda, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,veja-os-nomes-que-podem-disputar-a-eleicao-de-2018,70001937439",politica,15 de agosto de 2017 ,1270,1066,519,None,18,166,13,309,59,59,28,0,0,55,3.92308,5265,20.5,4.93902,0.00469043,0.248421,0.486867,2141
Por G1 PR ,https://g1.globo.com/pr/parana/noticia/parana-sexta-feira-9-de-marco-de-2018.ghtml,politica,09/03/2018 21h38 ,438,387,265,0,5,45,2,118,21,7,10,0,0,6,2.31818,1922,17.5909,4.96641,0.00258398,0.171779,0.684755,2142
"Por Marco Antônio Martins, G1 Rio ",https://g1.globo.com/rio-de-janeiro/noticia/mpf-abre-inquerito-para-investigar-acidente-que-matou-teori-zavascki.ghtml,politica,19/01/2017 20h46 ,772,667,363,0,16,86,1,213,22,21,16,0,0,23,2.625,3313,16.675,4.96702,0.00449775,0.143813,0.544228,2143
"Por Elisa de Souza*, G1 Rio ",https://g1.globo.com/rio-de-janeiro/noticia/primeira-manha-de-adriana-ancelmo-em-prisao-domiciliar-tem-abaixo-assinado-e-buzinaco.ghtml,sociedade_cotidiano,30/03/2017 14h32 ,865,739,386,None,1,146,4,179,30,53,14,3,0,81,2.86364,3446,16.7955,4.66306,0.0,0.255385,0.522327,2144
Por Jornal da EPTV 2ª Edição ,https://g1.globo.com/sp/campinas-regiao/noticia/ouro-verde-alvo-do-mp-por-suposto-desvio-ex-diretor-da-prefeitura-nega-atraso-em-licitacao-para-favorecer-vitale.ghtml,politica,19/01/2018 19h43 ,1063,931,436,None,12,141,5,277,27,39,21,3,1,47,2.64,4524,18.62,4.85929,0.0,0.157895,0.468314,2145
Por G1 ,https://g1.globo.com/mundo/noticia/coreia-do-norte-planeja-novo-teste-com-missil-diz-governo-sul-coreano.ghtml,sociedade_cotidiano,04/09/2017 04h01 ,550,500,248,None,4,57,1,143,44,14,3,0,2,14,2.27273,2477,22.7273,4.954,0.0,0.29,0.496,2146
Por G1 ,https://g1.globo.com/agenda-do-dia/noticia/terca-feira-21-de-novembro.ghtml,politica,21/11/2017 01h30 ,476,427,253,None,11,61,3,130,20,19,10,0,0,19,2.04167,1927,17.7917,4.51288,0.00234192,0.204188,0.592506,2147
"Julia Affonso, Ricardo Brandt, Luiz Vassallo e Fausto Macedo ",http://politica.estadao.com.br/blogs/fausto-macedo/lula-trocou-apoio-ideologico-por-compra-da-base-diz-lava-jato-ao-pedir-prisao-de-petista/,politica,03 de junho de 2017 ,1106,964,440,0,11,104,5,318,51,16,19,0,0,33,4.17647,4813,28.3529,4.99274,0.0,0.158768,0.456432,2148
Por BBC ,https://g1.globo.com/mundo/noticia/como-a-uniao-sovietica-influenciou-o-surgimento-e-a-expansao-do-radicalismo-islamico.ghtml,politica,12/11/2017 19h57 ,1878,1628,704,None,18,195,3,459,137,76,38,1,0,90,3.33333,8348,21.7067,5.12776,0.00737101,0.325688,0.432432,2149
Por G1 ,https://g1.globo.com/pop-arte/cinema/noticia/maria-madalena-12-herois-e-tomb-raider-a-origem-chegam-aos-cinemas-g1-comenta-em-video.ghtml,tv_celebridades,15/03/2018 11h12 ,1129,951,526,0,5,119,2,291,54,36,13,0,0,65,4.04545,4554,21.6136,4.78864,0.0042061,0.219512,0.553102,2150
"Por G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/defesa-de-lula-pede-que-moro-rejeite-denuncia-sobre-sitio-em-atibaia-alegando-carater-politico.ghtml,politica,24/08/2017 19h38 ,414,372,201,None,5,54,8,112,18,10,2,0,0,11,2.47059,1800,21.8824,4.83871,0.0,0.168675,0.540323,2151
José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/as-luleculas-de-voces/,politica,05 de março de 2018 ,1689,1492,728,0,11,243,11,377,88,94,34,3,0,137,3.33898,6839,25.2881,4.58378,0.00536193,0.293548,0.487936,2152
"Por Paula Resende, G1 GO, Alexânia ",https://g1.globo.com/goias/noticia/juiz-mantem-jovem-que-matou-aluna-em-escola-e-comparsa-presos-em-alexania.ghtml,tv_celebridades,07/11/2017 15h00 ,1025,873,431,None,3,170,7,230,27,42,20,0,0,58,2.86792,4017,16.4717,4.60137,0.00343643,0.1725,0.4937,2153
Lucineia Nunes ,http://cultura.estadao.com.br/blogs/divirta-se/drinques-autorais-menu-especial-de-almoco-e-outras-novidades-em-bares/,politica,29 de setembro de 2016 ,3345,2429,994,0,9,192,5,917,109,33,20,0,0,96,2.33673,9595,6.19643,3.95019,0.032112,0.128043,0.409222,2154
"Ricardo Brandt, enviado especial a Porto Alegre, e Julia Affonso ",http://politica.estadao.com.br/blogs/fausto-macedo/defesa-temia-ordem-de-prisao-para-lula-e-diz-que-vai-recorrer-de-novo/,politica,26 de março de 2018 ,684,604,297,None,7,98,5,156,28,24,21,0,4,36,2.96296,2932,22.3704,4.8543,0.00496689,0.204724,0.491722,2155
Por G1 ,https://g1.globo.com/mundo/noticia/perguntas-e-respostas-sobre-ataque-com-caminhao-em-berlim.ghtml,tv_celebridades,20/12/2016 12h50 ,2377,2028,708,0,16,335,9,578,102,86,61,1,1,99,3.38835,9637,19.6893,4.75197,0.00246548,0.205915,0.349112,2156
"Por Fernanda Borges, Paula Resende e Vanessa Martins, G1 GO ",https://g1.globo.com/goias/noticia/motorista-atropela-manifestantes-que-pediam-renuncia-de-temer-em-goiania.ghtml,sociedade_cotidiano,18/05/2017 17h40 ,704,612,335,0,6,99,3,169,21,23,12,0,0,19,2.70588,3061,18.0,5.00163,0.00163399,0.164179,0.547386,2157
"Por Guilherme Mazui, G1, Brasília ",https://g1.globo.com/politica/noticia/isso-nao-pode-acontecer-diz-temer-sobre-ameacas-a-fachin.ghtml,politica,28/03/2018 09h40 ,745,627,318,None,6,129,6,169,20,26,30,1,1,42,3.27778,3103,17.4167,4.94896,0.0,0.154362,0.507177,2158
"Por Giovani Grizotti, RBS TV ",https://g1.globo.com/rs/rio-grande-do-sul/noticia/policia-do-rs-investiga-venda-de-cartoes-de-creditos-emitidos-em-nomes-de-terceiros-pela-internet.ghtml,politica,26/02/2018 21h17 ,600,524,265,None,7,114,0,141,14,22,15,5,0,44,2.30303,2404,15.8788,4.58779,0.0,0.141176,0.505725,2159
"Por Renan Ramalho, G1, Brasília ",https://g1.globo.com/politica/operacao-lava-jato/noticia/lula-se-queixava-de-graca-foster-por-atrasar-pagamento-a-empresas-amigas-diz-santana.ghtml,politica,12/05/2017 18h47 ,804,702,342,0,0,117,4,205,24,33,17,1,0,48,3.1875,3583,21.9375,5.10399,0.0,0.177019,0.487179,2160
blogs ,http://economia.estadao.com.br/blogs/radar-imobiliario/a-importancia-da-norma-para-as-reformas/,sociedade_cotidiano,26 de março de 2018 ,1619,1411,632,None,11,243,8,374,69,98,41,3,1,89,2.97143,7254,20.1571,5.14103,0.0,0.270665,0.447909,2161
"André Cáceres, O Estado de S.Paulo ","http://alias.estadao.com.br/noticias/geral,confundimos-a-historia-com-propaganda-afirma-nk-jemisin,70002165637",tv_celebridades,27 de janeiro de 2018 ,1228,1086,579,None,3,193,7,277,100,74,21,3,1,93,2.44828,5633,18.7241,5.18692,0.00368324,0.370213,0.533149,2162
Por G1 RS ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/relator-de-recurso-sobre-condenacao-de-lula-na-lava-jato-em-segunda-instancia-conclui-voto-e-encaminha-processo.ghtml,politica,04/12/2017 09h08 ,910,814,349,None,18,105,2,257,34,28,16,0,0,26,2.34146,3875,19.8537,4.76044,0.0012285,0.171271,0.428747,2163
"Ricardo Brandt, Julia Affonso e Mateus Coutinho ",http://politica.estadao.com.br/blogs/fausto-macedo/bertin-tambem-pagou-obras-no-sitio-de-atibaia-diz-pf/,politica,29 de novembro de 2016 ,902,809,372,None,7,98,1,252,21,16,17,0,0,27,2.65714,3807,23.1143,4.70581,0.00247219,0.105714,0.459827,2164
"Por Darlan Alvarenga, G1 ",https://g1.globo.com/economia/noticia/brasil-ganhou-janela-de-30-dias-mas-ligacao-de-temer-para-trump-e-imprescindivel-diz-industria-do-aco.ghtml,tv_celebridades,22/03/2018 17h36 ,910,800,363,None,12,112,7,229,43,45,19,3,0,27,3.54839,4027,25.8065,5.03375,0.00375,0.258065,0.45375,2165
O Estado de S. Paulo ,"http://cultura.estadao.com.br/noticias/televisao,corpo-do-ator-domingos-montagner-e-encontrado,10000076208",sociedade_cotidiano,15 de setembro de 2016 ,546,469,244,0,2,61,2,145,9,19,10,0,0,18,3.5,2204,21.3182,4.69936,0.0,0.135922,0.520256,2166
"Por Lucas Salomão e Mariana Oliveira, G1 e TV Globo, Brasília ",https://g1.globo.com/politica/operacao-zelotes/noticia/mpf-em-brasilia-denuncia-lula-filho-dele-e-mais-dois-na-operacao-zelotes.ghtml,politica,09/12/2016 16h38 ,1726,1532,570,None,31,223,10,446,65,52,33,0,0,67,3.34483,7482,26.4138,4.88381,0.000652742,0.174888,0.372063,2167
"Antônio Carlos Garcia, Especial para O Estado Aracaju ","http://cultura.estadao.com.br/noticias/geral,em-menos-de-uma-hora-pm-tirou-foto-com-ator-e-tentou-salva-lo-de-afogamento,10000076644",tv_celebridades,17 de setembro de 2016 ,642,546,304,0,3,96,2,157,12,30,11,1,0,37,3.2,2524,18.2,4.62271,0.003663,0.166008,0.556777,2168
"Por Glauco Araújo, G1 SP ",https://g1.globo.com/sao-paulo/noticia/nossa-homenagem-e-constante-diz-viuva-de-domingos-montagner-morto-ha-um-ano.ghtml,tv_celebridades,15/09/2017 05h00 ,667,558,297,0,2,83,0,177,21,25,12,0,2,34,3.89286,2655,19.9286,4.75806,0.00179211,0.176923,0.532258,2169
"Adriana Del Ré, O Estado de S.Paulo ","http://cultura.estadao.com.br/noticias/televisao,destaque-em-o-filme-da-minha-vida-johnny-massaro-e-protagonista-da-nova-novela-deus-salve-o-rei,70002130287",sociedade_cotidiano,25 de dezembro de 2017 ,1408,1147,523,0,4,215,3,279,52,89,23,14,0,105,4.01538,5160,17.6462,4.49869,0.00261552,0.285425,0.455972,2170
"Por Sérgio Pais, G1 Bauru e Marília ",https://g1.globo.com/sp/bauru-marilia/noticia/video-de-cao-correndo-atras-de-carro-em-bauru-e-investigado-pela-policia-como-abandono-assista.ghtml,tv_celebridades,31/01/2018 07h00 ,578,518,236,None,1,93,3,150,14,29,7,0,0,25,2.30769,2389,19.9231,4.61197,0.0,0.176955,0.455598,2171
"Gilles Lapouge*, O Estado de S.Paulo ","http://internacional.estadao.com.br/noticias/geral,o-meu-e-maior,70002140436",sociedade_cotidiano,06 de janeiro de 2018 ,998,837,430,0,12,135,5,202,66,55,17,0,0,65,2.63934,3902,13.7213,4.66189,0.00238949,0.35905,0.51374,2172
"Ricardo Brandt, enviado especial a Porto Alegre, Julia Affonso, Luiz Vassallo e Fausto Macedo ",http://politica.estadao.com.br/blogs/fausto-macedo/o-voto-do-relator/,politica,24 de janeiro de 2018 ,1602,1450,668,None,9,219,10,390,77,92,36,5,0,104,2.98039,7371,28.4314,5.08345,0.00206897,0.277504,0.46069,2173
"Por Fernanda Zauli, Igor Jácome e Rafael Barbosa, G1 RN ",https://g1.globo.com/rn/rio-grande-do-norte/noticia/professor-proibe-aluna-de-assistir-aula-acompanhada-da-filha-de-5-anos-na-ufrn.ghtml,politica,07/03/2018 19h17 ,1352,1169,504,None,11,244,16,296,46,65,35,12,2,114,2.65217,5528,16.942,4.72883,0.0,0.205556,0.431138,2174
Por G1 DF ,https://g1.globo.com/df/distrito-federal/noticia/dia-da-agua-veja-programacao-do-forum-mundial-em-brasilia-nesta-quinta.ghtml,sociedade_cotidiano,22/03/2018 07h10 ,741,640,361,None,5,76,5,201,38,13,13,0,0,18,3.06061,3143,19.3939,4.91094,0.003125,0.184116,0.564062,2175
Por G1 Campinas e região ,https://g1.globo.com/sp/campinas-regiao/noticia/retrospectiva-2017-os-principais-casos-com-mortes-na-regiao.ghtml,sociedade_cotidiano,27/12/2017 08h09 ,925,815,370,None,16,110,9,262,15,29,14,0,1,29,2.68293,3581,19.878,4.39387,0.00122699,0.11828,0.453988,2176
"Por Gustavo Aguiar, G1, Brasília ",https://g1.globo.com/politica/noticia/planalto-divulga-nota-sobre-reportagem-sobre-audio-de-temer.ghtml,politica,17/05/2017 21h30 ,1552,1320,534,0,26,204,11,421,25,46,29,0,0,51,3.9322,6445,22.3729,4.88258,0.00151515,0.1136,0.404545,2177
"Por Renan Ramalho e Alessandra Modzeleski, G1, Brasília ",https://g1.globo.com/politica/noticia/janot-teve-seis-antecessores-na-pgr-desde-1988-saiba-quem-sao-e-o-que-fizeram.ghtml,politica,17/09/2017 07h00 ,1237,1089,495,None,25,144,3,330,58,35,12,1,0,39,2.96,5506,21.78,5.05601,0.00275482,0.196203,0.454545,2178
"Daiene Cardoso, O Estado de S.Paulo ","http://brasil.estadao.com.br/noticias/geral,deputado-do-dem-e-ex-ministro-de-dilma-integram-conselho-da-republica,70002227393",politica,14 de março de 2018 ,613,547,292,0,16,52,1,184,21,13,7,0,0,15,3.0,2739,24.8636,5.00731,0.0,0.144068,0.533821,2179
Por TV Anhanguera ,https://g1.globo.com/to/tocantins/noticia/mulher-perde-bebe-aos-nove-meses-de-gravidez-por-causa-de-trombofilia.ghtml,tv_celebridades,17/02/2018 09h00 ,651,566,292,None,1,118,6,142,24,41,22,7,0,49,2.23684,2641,14.8947,4.66608,0.00176678,0.25,0.515901,2180
"Por G1, São Paulo ",https://g1.globo.com/pop-arte/noticia/raduan-nassar-critica-governo-ao-receber-o-premio-camoes-ministro-da-cultura-rebate.ghtml,tv_celebridades,17/02/2017 21h58 ,1430,1191,485,None,5,195,12,349,60,47,19,0,2,75,4.05085,6059,20.1864,5.08732,0.0,0.196691,0.407221,2181
Estado da Arte ,http://cultura.estadao.com.br/blogs/estado-da-arte/racionalismo-na-politica-de-michael-oakeshott/,politica,21 de fevereiro de 2018 ,2841,2484,1014,0,5,378,38,588,214,186,44,1,2,282,4.15116,12461,28.8837,5.01651,0.00764895,0.414079,0.408213,2182
"Por G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/marcelo-odebrecht-cita-pagamento-de-milhoes-a-lula-por-meio-de-palocci.ghtml,sociedade_cotidiano,12/04/2017 14h18 ,717,619,303,None,1,89,3,171,18,31,15,5,0,43,3.26667,2914,20.6333,4.70759,0.00161551,0.188462,0.489499,2183
"Por Erick Gimenes, G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/greca-faz-balanco-dos-100-dias-de-gestao-e-diz-que-nao-quer-ser-quem-agrada-sindicatos-e-maltrata-o-funcionalismo.ghtml,tv_celebridades,10/04/2017 06h00 ,2032,1729,751,0,19,323,17,432,82,116,42,28,7,154,3.2234,8196,18.3936,4.74031,0.0,0.262252,0.434355,2184
Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/sexta-feira-7-de-abril-de-2017.ghtml,politica,07/04/2017 19h38 ,842,744,414,None,8,113,4,218,44,29,16,0,0,25,2.17778,3407,16.5333,4.5793,0.00268817,0.220544,0.556452,2185
"Por Thays Estarque, G1 PE ",https://g1.globo.com/pernambuco/noticia/apos-crime-em-centro-espirita-palestrante-diz-que-nao-ha-culpados.ghtml,tv_celebridades,06/07/2017 11h59 ,1228,1057,492,0,4,199,13,267,42,55,18,7,5,92,2.40845,5038,14.8873,4.76632,0.000946074,0.208154,0.465468,2186
Por G1 RS ,https://g1.globo.com/rs/rio-grande-do-sul/noticia/procurador-da-lava-jato-defende-prisao-apos-2-instancia-stf-rever-significa-enterrar-o-combate-a-corrupcao-no-brasil.ghtml,politica,16/03/2018 17h10 ,840,716,371,0,5,116,11,213,30,37,15,0,3,30,2.75556,3545,15.9111,4.95112,0.0,0.203647,0.518156,2187
"Ricardo Brandt, enviado especial a Porto Alegre, Julia Affonso e Luiz Vassallo ",http://politica.estadao.com.br/blogs/fausto-macedo/extremamente-relevante-diz-gebran-sobre-visita-de-executivos-da-oas-a-lula-em-sua-casa/,politica,24 de janeiro de 2018 ,1148,976,403,0,6,178,4,259,20,61,22,21,1,75,3.37255,4449,19.1373,4.5584,0.0,0.185355,0.41291,2188
Julia Affonso ,http://politica.estadao.com.br/blogs/fausto-macedo/auditor-da-receita-vendeu-ferrari-para-maquiar-patrimonio-milionario-diz-pf/,politica,11 de dezembro de 2017 ,614,540,258,None,10,70,0,160,16,15,6,0,0,20,3.08333,2597,22.5,4.80926,0.0,0.134783,0.477778,2189
"Por Gustavo Aguiar, G1, Brasília ",https://g1.globo.com/politica/noticia/pt-elege-senadora-gleisi-hoffmann-como-nova-presidente-da-legenda.ghtml,politica,03/06/2017 16h41 ,1088,939,441,0,6,128,2,304,42,32,11,2,3,39,2.56897,4582,16.1897,4.87966,0.0,0.171296,0.469649,2190
