indice,number of tokens,number of words without punctuation,number of types,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,document_score,document_magnitude,EVENT,LOCATION,ORGANIZATION,PERSON,classification
281,1430,1248,616,4,224,13,307,92,62,29,0,0,105,3.43396,6511,23.5472,5.21715,0.000801282,0.0,15.100000381469727,0.002937360053045391,0.0020419339901612448,0.0035269546594160297,0.003510840906528756,TRUE
282,404,351,189,7,57,4,100,19,13,10,0,0,18,4.076919999999999,1832,27.0,5.21937,0.0,0.0,2.400000095367432,0.015001992436332837,0.0076028951443731785,0.008347479626536371,0.011573539903530708,TRUE
283,177,154,88,1,16,0,49,5,6,0,0,0,5,2.55556,687,17.1111,4.461040000000001,0.0,0.20000000298023224,2.5999999046325684,0.015296079218387604,0.016740153543651104,0.015520074870437384,0.02770573620994886,TRUE
284,1708,1509,730,15,244,11,383,88,94,34,3,0,140,3.3728800000000003,6913,25.5763,4.581180000000001,0.00596421,0.0,16.5,0.00251204569099678,0.002516441642203265,0.002099725083098747,0.0025630583282278364,TRUE
285,3993,3434,1143,33,804,46,732,99,239,129,124,2,438,2.12548,14915,13.057,4.34333,0.00174723,0.0,79.30000305175781,0.0013413573300246804,0.0013509142752170461,0.0012571328376052955,0.0016264529817084214,TRUE
286,987,863,412,17,139,7,236,49,35,20,0,2,46,2.81818,4288,19.6136,4.96871,0.0023175,0.0,7.9000000953674325,0.0033086864984527764,0.004557293212403441,0.005396707934841257,0.005989203619880272,TRUE
287,537,460,188,4,74,4,113,21,32,9,1,0,38,2.9615400000000003,2144,17.6923,4.66087,0.0,0.0,6.199999809265138,0.010446794069139287,,0.008174766739830374,0.008899772691074758,TRUE
288,1378,1205,532,15,137,1,394,33,33,14,0,0,41,2.62121,5841,18.2576,4.8473,0.0,0.10000000149011612,10.0,0.003426296903902816,0.0023026750788238703,0.0026806859532371163,0.0027710648212472305,TRUE
289,683,574,280,3,115,1,163,13,32,16,0,2,35,3.7586199999999996,2709,19.7931,4.71951,0.0,0.10000000149011612,7.4000000953674325,0.0037274812542212508,0.007401204512765009,0.00698659151720886,0.008139665997136504,TRUE
290,170,148,87,4,18,0,49,7,2,4,0,0,5,2.2,745,14.8,5.03378,0.0,0.0,1.2000000476837158,0.023780815396457912,0.008822498843073845,0.01624802276492119,0.033895968459546566,TRUE
291,1174,1031,439,5,182,2,285,25,40,31,4,0,58,2.80392,4886,20.2157,4.73909,0.00387973,0.10000000149011612,9.899999618530273,0.0031788408101134586,0.0025186154913778105,0.003675811299073853,0.002761494183195297,TRUE
292,2381,2033,884,8,327,24,511,139,134,37,1,1,180,4.64,9913,27.1067,4.87605,0.00344319,0.10000000149011612,21.0,0.001275767627198042,0.0014395587641047314,0.0012752234266372395,0.0022059343419431783,TRUE
293,750,675,309,5,86,3,215,26,21,11,0,0,16,2.41935,3276,21.7742,4.853330000000001,0.00148148,0.0,4.5,0.007452755604925402,0.003506098052158075,0.003910114547531856,0.005520447849578757,TRUE
294,845,714,373,2,90,2,215,45,32,6,0,0,45,3.8529400000000003,3239,21.0,4.53641,0.00840336,0.4000000059604645,16.299999237060547,0.004935001827437769,0.0036521755973808467,0.004740986473146169,0.005646119658194948,TRUE
295,2013,1731,711,6,246,13,482,103,74,27,1,3,113,3.76,8510,23.08,4.9162300000000005,0.000577701,0.0,13.699999809265135,0.003197232580610684,0.0025170679537041,0.0025795407155306924,0.001546614551458691,TRUE
296,1202,1043,465,8,186,10,272,48,47,42,1,6,71,4.54286,5228,29.8,5.01246,0.000958773,0.0,7.9000000953674325,0.004886187257296924,0.003607734268756978,0.0048922245073804846,0.0034619010623608685,TRUE
297,2348,2010,803,27,342,12,562,95,128,59,7,0,172,3.3137300000000005,9989,19.7059,4.96965,0.0079602,0.10000000149011612,32.299999237060554,0.0014160001205522825,0.0014056263638562278,0.001744931230160336,0.0020406865688768787,TRUE
298,1908,1696,685,16,348,6,409,80,119,45,22,21,192,2.1632700000000002,8262,17.3061,4.87146,0.0,0.10000000149011612,32.900001525878906,0.002322531489315569,0.002177627062580238,0.004037631271675115,0.003521887470163744,TRUE
299,1039,934,434,13,115,5,265,35,46,16,0,1,42,2.1428599999999998,4720,19.0612,5.05353,0.00535332,0.0,5.9000000953674325,0.003147130691780685,0.002894517487018473,0.0035462449956685303,0.0052350163149336975,TRUE
300,1357,1204,516,22,180,6,348,48,40,24,0,0,43,2.18571,5979,17.2,4.96595,0.000830565,0.0,12.399999618530273,0.0034091621603104558,0.0012600054615177214,0.003131594216274853,0.004238509347619997,TRUE
301,1354,1150,561,21,174,2,321,85,53,28,1,1,88,3.92308,5726,22.1154,4.9791300000000005,0.00173913,0.0,11.699999809265135,0.0036998105351813133,0.0021552646156543717,0.0025091251277794637,0.002193635273403649,TRUE
302,2030,1772,676,20,276,15,532,78,85,31,0,1,90,2.86667,8843,19.6889,4.99041,0.00282167,0.0,15.800000190734865,0.0018498751546165138,0.001409721706295386,0.0014173879865736056,0.0023609657246443268,TRUE
303,1281,1151,494,17,150,6,325,64,34,27,0,1,52,3.02326,5552,26.7674,4.8236300000000005,0.00086881,0.0,6.5,0.0028758041363639328,0.0019176621480207691,0.003021147752103085,0.0043315568011921815,TRUE
304,375,326,178,2,39,3,107,6,10,4,0,0,11,2.57895,1526,17.1579,4.68098,0.021472400000000003,0.20000000298023224,4.400000095367432,0.011251189247039812,0.005313854990527034,0.013018850469961762,0.01058502266040215,TRUE
305,2241,1915,857,20,361,18,528,99,88,42,7,2,131,3.46809,9382,20.3723,4.89922,0.00522193,0.0,16.399999618530273,0.0024529040531469657,0.002794024273527846,0.0019123360329745887,0.0017227048355581045,TRUE
306,1901,1621,700,2,355,15,364,71,100,56,23,2,163,3.01075,7428,17.4301,4.5823599999999995,0.00185071,0.10000000149011612,22.899999618530273,0.002083229129547598,0.002385095901055528,0.0031849130076201013,0.003285854697524984,TRUE
307,382,325,198,0,42,3,100,24,11,7,0,3,19,3.5625,1713,20.3125,5.27077,0.0,0.10000000149011612,3.400000095367432,0.007655755802989006,0.008700262568891049,0.018147652757100084,0.009896119805052877,TRUE
308,1508,1310,559,32,204,2,399,42,64,33,0,3,60,3.1428599999999998,6237,20.7937,4.76107,0.00152672,0.0,11.899999618530273,0.0023607165329968148,0.0020652359260408125,0.002779884611765399,0.0036644443462137133,TRUE
309,2359,2041,888,12,291,17,562,169,83,46,0,3,120,3.87805,10124,24.8902,4.96031,0.0004899559999999999,0.0,19.399999618530273,0.0014195562817143554,0.0022475705388933427,0.0025013415464039505,0.001624111357324926,TRUE
310,862,763,449,13,95,2,249,51,16,14,0,0,20,2.30233,3632,17.7442,4.76016,0.00655308,0.0,8.399999618530272,0.0039055048613450853,0.0037222974545632797,0.0046562547477978205,0.004296039367268272,TRUE
311,1486,1342,592,14,169,7,403,88,43,25,0,0,56,2.6181799999999997,6953,24.4,5.18107,0.0007451560000000001,0.0,10.5,0.002140462014199017,0.003443900906284781,0.0027181557379662986,0.002657674332576975,TRUE
312,1240,1123,476,27,135,5,346,52,32,23,0,1,44,2.25,5394,21.5962,4.80321,0.000890472,0.0,9.199999809265137,0.002965020721961485,0.0030861449971174197,0.002307494825799949,0.005028491642366609,TRUE
313,1282,1135,510,9,159,4,333,50,43,23,1,0,51,2.3709700000000002,5468,18.3065,4.81762,0.0,0.10000000149011612,13.399999618530273,0.0037267552818068205,0.002160893639989404,0.0021587981735482005,0.0037192189734258883,TRUE
314,987,899,378,22,112,7,284,28,18,23,0,0,32,2.44444,4235,24.9722,4.71079,0.0,0.0,5.0,0.0034574333474867874,0.003572080151310989,0.0031280668060246265,0.003257386495533865,TRUE
315,461,401,200,4,67,1,111,10,18,16,0,0,14,2.5,1817,16.7083,4.5311699999999995,0.0,0.0,3.7000000476837163,0.010711625614203513,0.010837606780114584,0.008969626246163478,0.01130703161470592,TRUE
316,388,343,194,4,67,4,95,9,15,15,0,0,20,2.36842,1530,18.0526,4.46064,0.0,0.0,2.5999999046325684,0.00923908478580415,0.01010124495422298,0.009796170005574822,0.0145625269273296,TRUE
317,2389,2143,924,8,315,11,576,124,133,39,4,6,164,3.28,10187,28.5733,4.75362,0.00233318,0.0,17.899999618530273,0.0013410896297559262,0.001829404423395837,0.0013809807950983177,0.0018760945755415238,TRUE
318,1667,1475,650,22,233,6,458,49,47,48,0,0,35,2.37037,6691,18.2099,4.53627,0.00338983,0.0,12.600000381469727,0.002540408304947264,0.002420001723714029,0.002775620534329822,0.0022833381280269443,TRUE
319,1754,1513,695,23,228,4,431,80,63,24,3,1,105,3.6515199999999997,7278,22.9242,4.810309999999999,0.00462657,0.10000000149011612,15.399999618530273,0.0026844946675867376,0.0038274043066794,0.0028676624468062075,0.002471348533385195,TRUE
320,711,635,352,3,98,3,185,46,30,10,0,0,53,2.45161,3172,20.4839,4.99528,0.0015748,0.20000000298023224,9.199999809265137,0.0029894808010960173,0.004166540082382119,0.00634211883880198,0.005515983087077204,TRUE
321,780,698,296,4,114,12,200,28,25,13,0,0,42,2.15789,3489,18.3684,4.99857,0.0,0.0,6.199999809265138,0.003806568109072172,0.004235624025265376,0.005819897283799946,0.005607175984716212,TRUE
322,1546,1379,525,16,187,5,416,55,43,44,0,0,42,2.56923,6474,21.2154,4.69471,0.0,0.0,10.199999809265137,0.0027894355681917023,0.0014695574180223047,0.002731158339884132,0.0032086958646472983,TRUE
323,1153,1027,455,8,127,6,319,45,44,12,0,2,39,3.07317,4967,25.0488,4.8364199999999995,0.0,0.0,5.0,0.003373495225484173,0.002791192368022166,0.0022177729069402345,0.003937818417534121,TRUE
324,7516,6645,2680,148,1015,65,1791,395,392,112,8,9,528,2.4127400000000003,32770,18.4072,4.93153,0.0210685,0.0,86.0999984741211,0.0005508836922085575,0.000604941438459649,0.0008447921539967259,0.0004948984678135012,TRUE
325,2776,2350,919,7,444,18,565,82,167,50,16,0,200,2.82119,10674,15.5629,4.54213,0.0,0.10000000149011612,35.400001525878906,0.0010305833815696778,0.0026092093908960967,0.0013750169708050394,0.0019764253182594465,TRUE
326,817,713,377,5,91,1,218,42,26,8,0,0,37,4.16,3509,28.52,4.92146,0.00140252,0.0,4.300000190734863,0.0039315279035900645,0.003876667824047415,0.0064656333454574146,0.007624151000496128,TRUE
327,1031,920,412,6,121,3,272,51,25,17,0,4,58,2.92105,4653,24.2105,5.0576099999999995,0.00217391,0.4000000059604645,15.0,0.0033963527160019357,0.005316881967398028,0.004098307480140088,0.0035340154837981306,TRUE
328,1373,1206,639,9,171,6,353,72,69,20,2,1,76,2.5303,5616,18.2727,4.65672,0.014096200000000001,0.10000000149011612,20.100000381469727,0.002693130052648485,0.003310793978016591,0.0028118286175992,0.0027975229940448818,TRUE
329,1394,1213,585,2,189,10,332,58,64,23,1,0,64,3.2321400000000002,6045,21.6607,4.98351,0.0016488,0.0,8.600000381469728,0.002733103197180864,0.0027042694718522184,0.0014131360459776426,0.002246455969245015,TRUE
330,1251,1124,532,5,155,4,328,46,42,25,3,0,68,3.0238099999999997,5701,26.7619,5.07206,0.0,0.0,6.0999999046325675,0.002152127629898964,0.0022833338755715105,0.004037359909021428,0.003629969891335349,TRUE
331,1705,1542,701,0,185,9,407,109,86,25,0,4,156,4.93939,7663,46.7273,4.969519999999999,0.00129702,0.10000000149011612,9.199999809265137,0.0016400922375561838,0.0035088692924806052,0.001249568270785468,0.002734672069719464,TRUE
332,3677,3195,1283,18,439,0,984,136,87,77,0,0,118,3.3472199999999996,15075,22.1875,4.71831,0.00375587,0.0,26.899999618530273,0.001127942352860163,0.0011286275251882662,0.0009657975761234784,0.001063015293939749,TRUE
333,3715,3232,1187,20,619,18,810,184,191,107,6,1,323,2.56915,15902,17.1915,4.92017,0.00185644,0.0,50.9000015258789,0.001406242319111091,0.0014153172141002294,0.0013402483441055785,0.0013095537844278356,TRUE
334,1141,1001,449,0,193,3,250,66,44,19,9,0,101,2.33333,4872,16.6833,4.86713,0.000999001,0.20000000298023224,18.399999618530273,0.0037087901689422634,0.001507145795039833,0.003572305897250772,0.0053417502786032856,TRUE
335,1336,1148,554,43,199,7,325,68,41,41,0,1,56,3.08197,5436,18.8197,4.73519,0.00522648,0.10000000149011612,12.5,0.002628449555325868,0.0023704229504801326,0.0025539052863181987,0.0021802191296592353,TRUE
336,2513,2184,729,18,229,9,649,151,70,12,2,5,111,3.25743,10768,21.6238,4.9304,0.000915751,0.10000000149011612,31.79999923706055,0.0012468093670630718,0.0014775644968006206,0.0015658674653553006,0.002152442521722717,TRUE
337,2886,2468,903,3,589,29,410,90,213,82,28,15,400,2.17708,11208,12.8542,4.54133,0.0,0.0,59.9000015258789,0.0019047863916644165,0.0017711069244383414,0.0020543651439116468,0.0037402920666840173,TRUE
338,1435,1261,561,15,169,8,378,61,43,40,0,1,34,3.0,6333,21.7414,5.0222,0.00237906,0.10000000149011612,11.800000190734865,0.00368341557138289,0.0020794671339293322,0.0025972510200900664,0.002773145646451188,TRUE
339,1240,1122,459,18,131,4,366,56,29,18,0,0,31,2.68182,5630,25.5,5.01783,0.00356506,0.0,7.0,0.0030971479103235264,0.002111761257625543,0.0024788739167213923,0.003242671574511922,TRUE
340,7589,6641,1857,45,919,28,1912,392,276,95,0,0,298,2.48168,30348,17.3848,4.56979,0.00542087,0.5,199.6000061035156,0.0005603002945951107,0.0006996054065287657,0.0005020558365296373,0.000415378401411608,TRUE
341,874,777,458,5,125,5,227,33,27,24,1,0,28,2.425,3750,19.425,4.82625,0.002574,0.10000000149011612,7.5,0.007131244564477944,0.003285481815692037,0.0035937833082344797,0.004383012220602144,TRUE
342,585,512,259,7,94,2,146,30,24,17,1,1,17,2.80769,2593,19.6923,5.06445,0.0,0.10000000149011612,7.300000190734862,0.004800664144568145,0.005176706572196314,0.007695622829487547,0.006337458287210514,TRUE
343,740,656,300,25,100,9,180,31,37,18,0,0,25,4.0,3090,31.2381,4.710369999999999,0.0,0.0,3.2000000476837163,0.006047341506928206,0.002109052458157142,0.009652684559114277,0.004697601815375189,TRUE
344,252,222,137,1,38,3,57,22,11,2,0,0,16,3.33333,1160,24.6667,5.225230000000001,0.0,0.0,1.2000000476837158,0.014833078973672609,0.016551529456462183,0.010990609414875507,0.023105469221870102,TRUE
345,559,493,244,6,92,4,141,22,15,21,1,1,19,2.2758599999999998,2447,17.0,4.96349,0.0,0.10000000149011612,7.5,0.008462892276131444,0.002956268610432744,0.009079232811927795,0.004857115776695568,TRUE
346,648,569,298,19,74,4,178,29,22,8,0,0,20,3.16,2870,22.76,5.04394,0.0,0.0,3.5,0.005803231185731979,0.0060401232447475205,0.007387822696372219,0.006811357961085282,TRUE
347,502,432,247,5,82,1,129,15,13,11,0,0,15,2.91667,2161,18.0,5.00232,0.0,0.0,5.199999809265137,0.008763756878166036,0.014007261754678828,0.0056035737041383975,0.00910235260380432,TRUE
348,297,259,134,2,36,0,74,18,12,2,0,0,5,3.45455,1338,23.5455,5.16602,0.0,0.10000000149011612,1.8999999761581419,0.016290581226348876,0.014262968108856253,0.017105035328616697,0.011395700741559269,TRUE
349,730,654,318,3,130,7,151,25,31,18,14,0,60,2.92308,3110,25.1538,4.75535,0.0,0.0,5.099999904632568,0.009941165899171642,0.011925771000928112,0.008489469340180649,0.0068030701315199785,TRUE
350,445,367,212,2,73,2,104,16,13,9,6,0,37,3.3913,1702,15.9565,4.6376,0.0027248000000000003,0.0,3.7999999523162837,0.013342340535018591,0.013968765580405792,0.00337260231996576,0.010168093351043156,TRUE
351,340,315,174,4,53,0,81,14,15,7,0,0,17,1.66667,1448,21.0,4.596830000000001,0.0,-0.10000000149011612,3.0,0.007942801807075739,0.026948014833033086,0.011978736302504936,0.011691711594661076,TRUE
352,942,736,430,6,98,1,197,33,31,15,2,0,44,5.02439,3419,17.9512,4.64538,0.00271739,0.20000000298023224,13.300000190734865,0.0056037858594208964,0.006108321074862033,0.003503285930491984,0.005953922650128928,TRUE
353,663,585,299,2,70,4,163,40,31,8,0,0,13,3.0,2696,22.5,4.60855,0.0017094,0.0,3.7999999523162837,0.0073983525062966,0.004197562240402807,0.003152430969445656,0.007005972018384416,TRUE
354,2682,2317,954,4,479,12,577,101,122,69,7,2,217,2.68382,11280,17.0368,4.86836,0.00388433,0.0,33.700000762939446,0.0011808085419824752,0.0021530614148134427,0.0016828278963831034,0.0020615467152177787,TRUE
355,757,684,324,7,95,0,214,26,21,15,0,0,23,2.21212,3418,20.7273,4.99708,0.00146199,0.0,4.900000095367432,0.004207399392993572,0.005581682780757546,0.006971158678285205,0.004477075364610011,TRUE
356,578,507,255,2,83,2,148,22,19,10,1,0,25,2.36667,2493,16.9,4.91716,0.0,0.0,6.5,0.0067630434580343325,0.005335458124486299,0.004997115430887789,0.009673053149653728,TRUE
357,1590,1377,595,8,187,8,420,66,66,21,0,0,55,3.2769199999999996,6756,21.1846,4.90632,0.00145243,0.0,15.199999809265135,0.0022181905671739234,0.0030241275804623827,0.0021780975031383014,0.0014519891207422707,TRUE
358,330,263,153,4,21,1,81,8,4,4,0,0,3,6.09091,1232,23.9091,4.68441,0.00380228,0.20000000298023224,3.0999999046325684,0.013694219889917543,0.009532511699944736,0.010307517251931131,0.013807228785008192,TRUE
359,682,615,281,0,74,3,187,21,15,9,0,1,26,2.31034,2904,21.2069,4.72195,0.00325203,0.0,4.0,0.0059321842238526145,0.0031061114161275325,0.007160514730083592,0.008002932006814355,TRUE
360,740,620,315,12,98,6,190,33,16,19,0,0,17,3.4285699999999997,3073,17.7143,4.95645,0.00645161,0.0,6.199999809265138,0.005660152327353982,0.006042774269978206,0.004615361246490671,0.006603008934816476,TRUE
361,965,859,391,13,145,5,233,26,39,33,3,0,40,2.5238099999999997,3967,20.4524,4.61816,0.00116414,0.0,6.9000000953674325,0.00460515187587589,0.003625937693868764,0.004892881555647096,0.005265402218910976,TRUE
362,960,825,418,5,105,1,253,53,32,12,0,3,55,4.35484,3930,26.6129,4.7636400000000005,0.00121212,0.10000000149011612,9.699999809265137,0.0032348750573873986,0.0051828566162536545,0.004281014896973613,0.004174846565001644,TRUE
363,2481,2151,846,26,295,5,646,113,82,36,6,1,96,4.07407,10730,26.5556,4.98838,0.0018596,0.0,15.5,0.0014478697117644912,0.0017411626758985221,0.0020644979683581643,0.0016689212877253974,TRUE
364,1245,1062,496,18,157,7,315,52,45,23,2,4,63,3.0,5201,17.4098,4.89736,0.0,0.0,11.699999809265135,0.003746615764684975,0.002200577313487884,0.0034079633363889475,0.003649329824838787,TRUE
365,659,545,306,5,103,3,167,30,19,20,2,0,19,4.22222,2680,20.1852,4.91743,0.00183486,0.10000000149011612,5.099999904632568,0.0054120022520822075,0.0047518152912909345,0.007127814047800545,0.006690927880117671,TRUE
366,4175,3509,988,2,861,31,540,117,318,96,210,10,720,2.6015599999999997,15026,13.707,4.28213,0.000569963,0.0,70.0,0.001084631567613946,0.0023593180607038933,0.003221709484932944,0.002257806546861373,TRUE
367,808,744,309,3,83,4,207,44,18,10,0,0,25,2.06452,3505,24.0,4.7110199999999995,0.0,0.0,6.9000000953674325,0.003284992072731257,0.0057033084092601655,0.00431622126294921,0.004818266017965096,TRUE
368,2150,1777,831,8,342,25,381,155,141,22,4,2,201,3.03252,8176,14.4472,4.60101,0.00562746,0.0,32.0,0.002176403162247013,0.0034494263818487525,0.0020668742072302852,0.002682494362542296,TRUE
369,1123,961,530,5,145,3,268,48,46,6,9,0,60,2.7457599999999998,4557,16.2881,4.7419400000000005,0.00104058,0.20000000298023224,16.100000381469727,0.0037726545807622055,0.0036825269848729174,0.002328283130191266,0.004746558498470234,TRUE
370,2422,2136,902,20,392,24,441,156,153,47,72,5,277,2.88889,9854,21.5758,4.6133,0.00093633,0.0,37.599998474121094,0.0018629741332974407,0.0027221196235456897,0.002451014097245848,0.002463730163467319,TRUE
371,3388,2895,1093,58,348,20,868,177,118,36,0,0,127,3.12025,14142,18.3228,4.88497,0.00241796,0.0,19.799999237060547,0.0010481084305758806,0.0012828083449026705,0.0010581777291057783,0.001452524491813122,TRUE
372,1966,1669,724,16,264,6,485,93,79,42,5,1,110,2.97,8102,16.69,4.8544,0.0,0.0,19.5,0.002664335806141881,0.0017721492456205718,0.0015750187707857953,0.0025071360054425896,TRUE
373,2508,2131,895,5,429,17,556,70,132,44,9,0,173,2.85606,10012,16.1439,4.698259999999999,0.00469263,0.0,30.60000038146973,0.002578710551819646,0.001909004683655344,0.0013587575069525177,0.002068984135279827,TRUE
374,812,720,430,3,114,5,215,46,23,11,0,0,34,2.09091,3414,16.3636,4.74167,0.00277778,0.0,10.300000190734863,0.0051158577100270325,0.004358136064062516,0.004999278229661286,0.005167320133186878,TRUE
375,1375,1201,600,2,183,1,325,87,79,24,0,3,88,2.35135,5897,16.2297,4.910069999999999,0.00166528,0.10000000149011612,22.5,0.003009881748927428,0.004415052518579027,0.0037219189371998336,0.0026941590355515172,TRUE
376,1193,1047,497,15,153,5,313,102,40,22,0,0,37,4.2941199999999995,5708,30.7941,5.45177,0.0,0.10000000149011612,9.0,0.0026785321485173572,0.003963486927871903,0.004946934138636359,0.002760155165257553,TRUE
377,3365,2958,967,41,573,29,726,98,230,98,16,31,295,2.62581,14217,19.0839,4.80629,0.0,0.0,42.79999923706055,0.0008298709560351979,0.0022611927141302397,0.0020636132111826887,0.002188541745671897,TRUE
378,1829,1575,691,0,274,17,359,112,138,32,4,4,185,4.03175,7863,25.0,4.992380000000001,0.00888889,0.0,25.29999923706055,0.003357988804054912,0.0012034516548737886,0.003640297617364143,0.002702327043402429,TRUE
379,794,719,353,13,104,6,195,58,25,12,0,0,33,3.26087,3515,31.2609,4.888730000000001,0.0,0.0,4.199999809265137,0.0070108575826703465,0.004459085683761673,0.005444305935217177,0.0030611366964876647,TRUE
380,2133,1896,767,22,294,23,517,94,112,55,3,1,105,2.7241400000000002,9241,21.7931,4.87395,0.00791139,0.0,20.399999618530273,0.0020225170748783975,0.0018163082568207762,0.0012897320702904835,0.002481684376870823,TRUE
381,688,580,299,3,118,10,157,22,37,20,2,0,30,3.8571400000000002,2855,20.7143,4.92241,0.0,0.0,5.300000190734863,0.008203916700073966,0.003726896597072483,0.0053667200762512425,0.008868370534534134,TRUE
382,3470,2810,1128,18,270,3,926,143,41,26,0,0,83,5.15625,12699,21.9531,4.51922,0.00498221,0.30000001192092896,41.20000076293945,0.0012610529009306932,0.001149876304741672,0.000989541418675799,0.000988014141064572,TRUE
383,2128,1899,807,13,295,8,530,93,99,60,0,2,109,2.66279,8834,22.0814,4.65192,0.00368615,0.0,17.0,0.0018680515164252965,0.0032950590808737885,0.0023039689707650764,0.002360852372366935,TRUE
384,641,548,296,0,104,2,161,38,23,16,2,0,43,3.2069,2722,18.8966,4.96715,0.027372300000000002,0.0,6.9000000953674325,0.0063233322231099,0.007180743248147123,0.009218749823048709,0.007866450885851537,TRUE
385,2731,2346,967,3,443,15,602,97,134,47,20,3,253,2.89474,10875,17.6391,4.63555,0.0,0.10000000149011612,37.599998474121094,0.0016452863101481593,0.0013925306794638009,0.0012154002615716306,0.0020345066114254066,TRUE
386,791,707,395,8,106,4,196,42,19,20,0,0,31,2.15385,3140,18.1282,4.4413,0.00141443,0.10000000149011612,9.199999809265137,0.006504732404688471,0.0042112146349002925,0.005263034987729042,0.004848363004963507,TRUE
387,1818,1622,728,22,212,9,464,89,45,26,0,0,108,3.69811,8382,30.6038,5.16769,0.00863132,0.10000000149011612,12.0,0.002549485799165502,0.0033291040722710588,0.00264453347601996,0.002159250957744294,TRUE
388,2024,1729,725,3,233,9,447,122,118,23,1,2,115,4.27536,8632,25.058000000000003,4.9924800000000005,0.00115674,0.0,15.600000381469727,0.0021464558422862406,0.00267538299302159,0.002308242057386617,0.002283465520954354,TRUE
389,1840,1604,648,7,330,12,388,109,91,49,0,6,140,2.6516900000000003,7917,18.0225,4.93579,0.00685786,0.0,24.29999923706055,0.0025851692846164303,0.0012025117175653575,0.0018008618004387246,0.0025215803745570003,TRUE
390,986,887,521,3,119,1,282,45,22,15,1,0,33,1.83333,4359,16.4259,4.91432,0.0011274000000000002,0.10000000149011612,9.600000381469727,0.0038295625470875,0.0034691688732334204,0.0035407984396442775,0.004009316313022282,TRUE
391,3271,2875,1100,33,389,18,840,129,147,44,0,2,145,3.04615,13831,22.1154,4.81078,0.0006956519999999999,0.0,30.29999923706055,0.0010655858331238446,0.001200309623903916,0.0009659337995496268,0.0009513202249882336,TRUE
392,1567,1406,746,11,214,12,365,92,91,34,2,0,120,3.42553,6885,29.9149,4.89687,0.014936000000000001,0.0,9.800000190734863,0.002763455808033339,0.002519698231481016,0.003837718586770019,0.00281935118167012,TRUE
393,1076,933,464,8,181,18,262,43,30,23,0,0,69,2.91837,4523,19.0408,4.8478,0.00107181,0.0,12.399999618530273,0.0040086379779192315,0.005047950739972293,0.0033300361828878518,0.004676825617887564,TRUE
394,462,397,231,3,47,2,117,20,6,11,0,2,14,2.95455,1953,18.0455,4.9194,0.0100756,0.10000000149011612,4.900000095367432,0.012697055086712629,0.008521141842580758,0.011057002207962796,0.007685385162143834,TRUE
395,2461,2107,860,11,314,4,599,71,113,28,16,0,140,3.6875,9699,21.9479,4.60323,0.00189843,0.20000000298023224,31.899999618530273,0.0013138238052641485,0.0019691887380600824,0.0020541453516617525,0.0015682133502644096,TRUE
396,1609,1360,719,13,237,13,379,59,72,25,4,1,77,3.3648599999999997,6624,18.3784,4.87059,0.0,0.0,15.399999618530273,0.0024296098671780487,0.002068081353654099,0.0031492301699472588,0.0030784212360277963,TRUE
397,1206,1015,483,2,183,6,253,43,77,20,2,6,93,3.60377,4831,19.1509,4.7596099999999995,0.0,0.0,12.199999809265135,0.005323690323469539,0.0038203115807846186,0.0058949331694748254,0.004633700901952882,TRUE
398,3065,2678,957,35,434,13,699,140,173,58,10,0,213,3.17213,12273,21.9508,4.5829,0.000746826,0.0,33.299999237060554,0.0013051930318830447,0.002229575016074172,0.001203727693791734,0.0018169337393677168,TRUE
399,2221,1927,789,9,303,6,544,117,101,46,0,0,109,3.5421699999999996,9693,23.2169,5.0301,0.00155682,0.0,18.399999618530273,0.00208136349526663,0.0024595560116351264,0.0018159021687767422,0.0014562183681696855,TRUE
400,3024,2696,1093,20,362,7,757,171,97,33,1,1,140,2.4117599999999997,13018,19.8235,4.82864,0.0037091999999999997,0.10000000149011612,29.70000076293945,0.0010814221614248497,0.0017233068432582054,0.000984022797281653,0.0011598506064070919,TRUE
401,1325,1183,516,6,138,2,378,52,30,15,0,0,38,2.49123,6084,20.7544,5.14286,0.0,0.10000000149011612,11.800000190734865,0.0017006613983539865,0.002375133302553582,0.0027747973017540058,0.0035328171798028048,TRUE
402,390,310,201,0,26,0,95,17,8,2,0,0,16,6.15385,1477,23.8462,4.76452,0.0,0.20000000298023224,3.400000095367432,0.009410541292957285,0.006585849332623185,0.008646187232807278,0.010423287632875144,TRUE
403,2861,2452,1001,5,384,15,640,140,153,44,9,5,208,3.22047,11367,19.3071,4.63581,0.00203915,0.0,27.70000076293945,0.0012875551692559384,0.0021290920724053508,0.000989144018967636,0.0011202806157858244,TRUE
404,522,476,229,3,53,1,144,15,16,7,0,0,15,1.7037,2226,17.6296,4.67647,0.00210084,0.0,2.700000047683716,0.007612217340947074,0.003973362687975168,0.009570510309588696,0.007595099396102371,TRUE
405,2295,2013,914,18,280,5,659,78,42,49,0,0,59,2.35,9703,16.775,4.82017,0.00298063,0.0,19.600000381469727,0.0016966068320662568,0.001530511023284977,0.0013187906058322238,0.0019798747583314085,TRUE
